Date,Open,High,Low,Close,Adj Close,Volume
2000-03-28,2.545455,2.636364,2.272727,2.590909,1.952091,23025200
2000-03-29,2.795455,2.863636,2.727273,2.727273,2.054832,9124500
2000-03-30,2.727273,2.75,2.409091,2.636364,1.986338,3688300
2000-03-31,2.727273,2.727273,2.636364,2.659091,2.003461,3083300
2000-04-03,2.545455,2.659091,2.386364,2.613636,1.969214,5897100
2000-04-04,2.272727,2.318182,2.136364,2.272727,1.71236,4483050
2000-04-05,2.227273,2.545455,2.136364,2.522727,1.90072,1946450
2000-04-06,2.409091,3.090909,2.409091,3.034091,2.286001,2862750
2000-04-07,3.181818,3.409091,3.181818,3.204545,2.414428,1497100
2000-04-10,3.363636,3.363636,2.75,2.920455,2.200383,1596650
2000-04-11,2.818182,2.909091,2.727273,2.886364,2.174698,578600
2000-04-12,2.909091,2.931818,2.818182,2.863636,2.157573,1013650
2000-04-13,2.840909,2.863636,2.727273,2.75,2.071956,1234750
2000-04-14,2.681818,2.75,2.636364,2.727273,2.054832,1975050
2000-04-17,2.681818,2.75,2.636364,2.727273,2.054832,1392600
2000-04-18,2.772727,2.909091,2.772727,2.863636,2.157573,916850
2000-04-19,2.818182,2.909091,2.75,2.886364,2.174698,871200
2000-04-20,2.840909,2.954545,2.818182,2.909091,2.191821,538450
2000-04-24,2.863636,2.863636,2.670455,2.681818,2.020585,169950
2000-04-25,2.727273,2.795455,2.715909,2.772727,2.08908,156750
2000-04-26,2.863636,3.147727,2.863636,3.136364,2.363057,1769900
2000-04-27,3.0,3.181818,2.909091,3.113636,2.345933,1443750
2000-04-28,3.159091,3.227273,3.090909,3.136364,2.363057,547250
2000-05-01,3.181818,3.181818,3.068182,3.079545,2.320248,234300
2000-05-02,3.045455,3.045455,2.931818,2.977273,2.243192,721600
2000-05-03,2.954545,2.954545,2.704545,2.727273,2.054832,853050
2000-05-04,2.727273,2.795455,2.727273,2.772727,2.08908,536800
2000-05-05,2.784091,2.829545,2.784091,2.829545,2.131888,125400
2000-05-08,2.909091,3.0,2.840909,2.977273,2.243192,673200
2000-05-09,2.954545,3.011364,2.920455,3.0,2.260316,300300
