Date,ALI_BABA_Hangseng_Open,ALI_BABA_Hangseng_High,ALI_BABA_Hangseng_Low,ALI_BABA_Hangseng_Close,ALI_BABA_Hangseng_adj_close,ALI_BABA_Hangseng_Volume,Hangseng_Open,Hangseng_High,Hangseng_Low,Hangseng_Close,Hangseng adj close,Hangseng_Volume,NASDAQ_Premarket_Close,NASDAQ_Premarket_Open,NASDAQ_Premarket_High,NASDAQ_Premarket_Low,ALI_BABA_ADR_Open,target
2019-11-26,187.0,189.5,187.0,187.600006,187.600006,74549578,27183.900391,27227.869141,26913.919922,26913.919922,26913.919922,2416392100.0,8377.27,8374.57,8377.27,8370.67,190.389999,1
2019-11-27,190.0,195.300003,189.300003,193.199997,193.199997,53617241,26943.519531,26974.279297,26866.800781,26954.0,26954.0,1133748200.0,8407.72,8400.11,8407.72,8399.77,197.240005,1
2019-11-29,204.0,204.800003,197.5,198.399994,198.399994,36509531,26705.380859,26705.380859,26308.099609,26346.490234,26346.490234,2004856800.0,8427.41,8436.02,8436.02,8427.41,199.809998,1
2019-12-02,198.0,198.899994,194.0,195.5,195.5,26592325,26475.339844,26511.550781,26393.089844,26444.720703,26444.720703,1348911800.0,8410.32,8415.87,8418.44,8410.32,198.580002,0
2019-12-03,191.699997,194.199997,190.399994,192.600006,192.600006,19911922,26315.970703,26424.119141,26063.019531,26391.300781,26391.300781,1795451800.0,8205.27,8237.6,8237.6,8198.8,190.970001,1
2019-12-04,190.0,191.600006,188.5,189.0,189.0,19276308,26071.390625,26191.789063,25995.150391,26062.560547,26062.560547,1502327900.0,8297.95,8288.01,8304.93,8283.22,195.529999,0
2019-12-05,191.399994,193.800003,190.899994,192.399994,192.399994,17932572,26300.509766,26300.509766,26134.060547,26217.039063,26217.039063,1228026600.0,8322.55,8322.3,8326.8,8321.42,196.929993,1
2019-12-06,196.100006,198.100006,195.399994,197.5,197.5,19205791,26345.199219,26520.080078,26309.339844,26498.369141,26498.369141,1644211100.0,8357.08,8320.57,8357.74,8318.31,201.110001,1
2019-12-09,197.0,198.300003,196.0,196.600006,196.600006,8558132,26513.970703,26618.25,26432.269531,26494.730469,26494.730469,1301819900.0,8389.11,8390.74,8391.34,8384.83,200.320007,0
2019-12-10,195.0,196.5,193.699997,195.399994,195.399994,6639899,26378.990234,26527.089844,26355.529297,26436.619141,26436.619141,956293300.0,8364.9,8335.63,8374.7,8335.63,200.710007,0
2019-12-11,196.199997,198.399994,195.399994,197.600006,197.600006,6534411,26410.089844,26659.980469,26364.429688,26645.429688,26645.429688,1409589200.0,8376.24,8366.49,8376.24,8365.64,201.100006,1
2019-12-12,199.600006,201.199997,199.600006,200.199997,200.199997,8825275,26837.939453,27048.980469,26837.939453,26994.140625,26994.140625,1451721900.0,8387.72,8390.33,8395.18,8387.72,203.710007,1
2019-12-13,202.800003,203.0,199.399994,202.0,202.0,18576570,27494.509766,27687.759766,27405.259766,27687.759766,27687.759766,2212195500.0,8467.24,8484.9,8494.93,8453.22,205.759995,0
2019-12-16,201.600006,202.800003,200.0,201.0,201.0,6616578,27530.5,27715.929688,27473.320313,27508.089844,27508.089844,1421412600.0,8528.61,8522.31,8535.93,8522.31,206.330002,1
2019-12-17,203.199997,205.800003,202.199997,203.800003,203.800003,11225195,27630.689453,27894.720703,27563.439453,27843.710938,27843.710938,1926224500.0,8585.48,8572.07,8585.8,8571.8,208.690002,0
2019-12-18,203.800003,203.800003,201.600006,202.600006,202.600006,8179646,27884.210938,27884.210938,27884.210938,27884.210938,27884.210938,0.0,8582.98,8581.63,8588.94,8581.61,208.529999,1
2019-12-19,204.0,205.399994,202.600006,204.800003,204.800003,7525360,27908.779297,27908.779297,27675.240234,27800.490234,27800.490234,1296810200.0,8587.3,8588.17,8591.21,8585.32,209.610001,1
2019-12-20,205.0,208.399994,204.800003,207.0,207.0,16804751,27834.550781,27959.519531,27740.660156,27871.349609,27871.349609,1680024400.0,8708.42,8653.51,8708.42,8652.16,211.350006,1
2019-12-23,209.0,210.199997,207.800003,208.399994,208.399994,9892858,28024.619141,28024.619141,27830.080078,27906.410156,27906.410156,1216834000.0,8706.48,8698.93,8706.57,8698.79,213.25,1
2019-12-24,209.800003,211.0,209.0,210.399994,210.399994,7770434,27901.509766,27921.289063,27792.660156,27864.210938,27864.210938,483984100.0,8706.74,8703.38,8710.1,8703.38,215.009995,0
2019-12-27,211.0,213.600006,210.800003,212.800003,212.800003,10774808,28033.660156,28226.109375,28000.619141,28225.419922,28225.419922,1375016100.0,8802.35,8804.23,8807.56,8800.62,217.990005,0
2019-12-30,211.0,212.0,210.399994,210.600006,210.600006,9970904,28250.480469,28418.650391,28165.130859,28319.390625,28319.390625,1420447400.0,8768.18,8768.69,8772.48,8767.53,215.779999,0
2019-12-31,207.800003,208.199997,206.199997,207.199997,207.199997,8813067,28241.429688,28298.460938,28123.859375,28189.75,28189.75,873713900.0,8685.3,8702.85,8702.91,8685.3,212.0,1
2020-01-02,208.0,211.0,208.0,210.0,210.0,9516678,28249.369141,28543.519531,28245.970703,28543.519531,28543.519531,1262732800.0,8794.25,8785.3,8800.59,8785.3,216.600006,1
2020-01-03,215.0,215.0,211.199997,212.0,212.0,11307103,28828.359375,28883.300781,28428.169922,28451.5,28451.5,1797904800.0,8766.09,8792.87,8799.57,8766.09,216.350006,1
2020-01-06,211.0,211.800003,209.199997,211.0,211.0,11303411,28326.5,28367.869141,28054.289063,28226.189453,28226.189453,1793426600.0,8721.47,8744.01,8746.94,8721.47,214.889999,1
2020-01-07,211.800003,214.0,211.600006,212.600006,212.600006,11676599,28352.679688,28473.080078,28264.070313,28322.060547,28322.060547,1302687200.0,8859.42,8866.31,8866.62,8850.77,217.639999,0
