Date,ICIC_NSE_Open,ICIC_NSE_High,ICIC_NSE_Low,ICIC_NSE_Close,ICIC_NSE_adj_close,ICIC_NSE_Volume,NSE_Open,NSE_High,NSE_Low,NSE_Close,NSE adj close,NASDAQ_Premarket_Close,NASDAQ_Premarket_Open,NASDAQ_Premarket_High,NASDAQ_Premarket_Low,ICIC_ADR_Open,target
2007-09-17,165.090912,166.0,161.981812,162.754547,132.773331,6581168.0,4518.450195,4549.049805,4482.850098,4494.649902,4494.649902,1992.84,1995.62,1996.16,1992.73,8.130909,0
2007-09-18,162.727264,169.27272,162.181824,168.100006,137.134125,14328611.0,4494.100098,4551.799805,4481.549805,4546.200195,4546.200195,1993.04,1988.28,1994.92,1988.28,8.210909,1
2007-09-19,170.909088,178.0,170.909088,177.009094,144.402039,35467580.0,4550.25,4739.0,4550.25,4732.350098,4732.350098,2047.29,2039.15,2047.29,2038.93,8.74,0
2007-09-20,176.363632,178.181824,174.263641,175.836365,143.445313,18685216.0,4734.850098,4760.850098,4721.149902,4747.549805,4747.549805,2035.21,2037.53,2037.8,2035.21,8.727273,1
2007-09-21,175.836365,177.963638,174.399994,175.645447,143.289612,10728487.0,4752.950195,4855.700195,4733.700195,4837.549805,4837.549805,2047.12,2040.63,2047.34,2039.15,8.943636,1
2007-09-24,177.27272,181.636368,177.27272,181.145447,147.776413,20870426.0,4837.149902,4941.149902,4837.149902,4932.200195,4932.200195,2053.57,2056.78,2060.49,2053.57,9.227273,1
2007-09-25,181.77272,183.281815,176.118179,180.55455,147.294373,15888323.0,4939.100098,4953.899902,4878.149902,4938.850098,4938.850098,2049.59,2050.49,2052.29,2047.77,9.147273,1
2007-09-26,181.327271,187.800003,180.745453,185.454544,151.291733,21556595.0,4937.600098,4980.850098,4930.350098,4940.5,4940.5,2089.33,2085.28,2089.33,2085.28,9.454545,1
2007-09-27,189.090912,189.090912,183.690903,186.954544,152.515396,22832656.0,4942.700195,5016.399902,4942.700195,5000.549805,5000.549805,2099.63,2091.87,2099.63,2091.52,9.516364,1
2007-09-28,189.090912,194.527267,186.727264,193.163635,157.580704,23746734.0,4996.450195,5055.799805,4996.450195,5021.350098,5021.350098,2094.48,2091.86,2095.32,2090.31,9.645455,0
2007-10-01,194.181824,194.181824,188.181824,192.327271,156.898422,17555378.0,5021.5,5089.299805,5001.350098,5068.950195,5068.950195,2093.71,2090.5,2093.71,2087.5,9.585455,1
2007-10-03,193.090912,204.618179,190.909088,197.55455,161.16275,27840818.0,5069.0,5261.350098,5034.149902,5210.799805,5210.799805,2107.93,2112.69,2112.69,2107.93,10.056364,0
2007-10-04,196.345459,196.363632,185.090912,194.181824,158.411362,18966882.0,5211.649902,5233.100098,5126.049805,5208.649902,5208.649902,2108.65,2104.46,2108.65,2103.79,9.727273,0
