Date,MUFG_Nikkei_Open,MUFG_Nikkei_High,MUFG_Nikkei_Low,MUFG_Nikkei_Close,MUFG_Nikkei_adj_close,MUFG_Nikkei_Volume,Nikkei_Open,Nikkei_High,Nikkei_Low,Nikkei_Close,Nikkei adj close,Nikkei_Volume,NASDAQ_Premarket_Close,NASDAQ_Premarket_Open,NASDAQ_Premarket_High,NASDAQ_Premarket_Low,MUFG_ADR_Open,target
2005-09-29,1460.0,1480.0,1410.0,1450.0,870.421082,81919000,13515.730469,13617.240234,13440.900391,13617.240234,13617.240234,245800000.0,1567.23,1568.72,1568.72,1567.23,12.74,1
2005-09-30,1460.0,1530.0,1420.0,1490.0,894.432495,91878000,13677.450195,13678.44043,13539.150391,13574.299805,13574.299805,198400000.0,1589.5,1591.12,1591.6,1589.39,13.02,1
2005-10-03,1460.0,1470.0,1380.0,1420.0,852.412292,116715000,13566.200195,13584.610352,13454.669922,13525.280273,13525.280273,203400000.0,1602.28,1603.83,1604.06,1602.28,12.54,0
2005-10-04,1430.0,1440.0,1380.0,1400.0,840.40625,47337000,13597.379883,13738.839844,13593.009766,13738.839844,13738.839844,201500000.0,1605.62,1605.75,1606.57,1605.48,12.25,0
2005-10-05,1410.0,1440.0,1380.0,1400.0,840.40625,71891000,13761.80957,13783.599609,13655.94043,13689.889648,13689.889648,181100000.0,1596.29,1596.96,1598.71,1596.29,12.2,0
2005-10-06,1370.0,1380.0,1320.0,1340.0,804.389038,49897000,13554.55957,13554.55957,13285.830078,13359.509766,13359.509766,180200000.0,1571.94,1574.22,1574.87,1571.94,11.75,1
2005-10-07,1340.0,1380.0,1330.0,1340.0,804.389038,55836000,13279.299805,13332.120117,13221.330078,13227.740234,13227.740234,163000000.0,1560.6,1553.45,1560.6,1553.45,11.95,1
2005-10-11,1380.0,1450.0,1370.0,1450.0,870.421082,67037000,13280.330078,13556.709961,13241.839844,13556.709961,13556.709961,170600000.0,1552.56,1551.77,1554.27,1551.65,12.74,1
2005-10-12,1460.0,1490.0,1420.0,1440.0,864.418152,63301000,13565.870117,13704.089844,13463.740234,13463.740234,13463.740234,202100000.0,1532.22,1532.54,1532.79,1530.26,12.71,0
2005-10-13,1410.0,1490.0,1410.0,1480.0,888.429688,59362000,13388.019531,13475.860352,13266.980469,13449.240234,13449.240234,134700000.0,1519.09,1522.61,1523.45,1519.09,12.9,1
2005-10-14,1480.0,1490.0,1420.0,1440.0,864.418152,57773000,13581.320313,13581.320313,13361.959961,13420.540039,13420.540039,136500000.0,1539.94,1534.54,1540.96,1534.48,12.7,1
2005-10-17,1430.0,1430.0,1380.0,1380.0,828.400818,37847000,13486.179688,13510.629883,13341.639648,13400.290039,13400.290039,119400000.0,1544.29,1543.55,1545.25,1543.07,12.25,1
2005-10-18,1380.0,1420.0,1370.0,1390.0,834.403503,39912000,13376.19043,13441.780273,13321.969727,13352.240234,13352.240234,187600000.0,1548.18,1548.47,1550.11,1548.18,12.17,0
2005-10-19,1410.0,1420.0,1390.0,1400.0,840.40625,31103000,13297.650391,13304.980469,13073.459961,13129.490234,13129.490234,179300000.0,1533.04,1534.64,1534.64,1530.62,12.04,1
2005-10-20,1410.0,1430.0,1400.0,1420.0,852.412292,37761000,13221.910156,13264.400391,13175.929688,13190.459961,13190.459961,170400000.0,1568.14,1565.21,1568.52,1565.14,12.33,0
2005-10-21,1380.0,1420.0,1380.0,1420.0,852.412292,24575000,13065.959961,13243.080078,12996.290039,13199.950195,13199.950195,142800000.0,1571.42,1563.1,1574.15,1561.62,12.59,0
2005-10-24,1410.0,1420.0,1390.0,1400.0,840.40625,17880000,13232.410156,13244.240234,13083.040039,13106.179688,13106.179688,115700000.0,1569.1,1566.28,1571.22,1565.82,12.24,1
2005-10-25,1410.0,1420.0,1400.0,1410.0,846.409241,23586000,13227.919922,13336.639648,13219.049805,13280.620117,13280.620117,149100000.0,1583.96,1589.18,1589.33,1583.96,12.2,0
2005-10-26,1400.0,1420.0,1390.0,1420.0,852.412292,26947000,13291.459961,13406.19043,13285.599609,13395.019531,13395.019531,143400000.0,1579.03,1582.07,1582.43,1579.03,12.25,1
