Date,SMFG_Nikkei_Open,SMFG_Nikkei_High,SMFG_Nikkei_Low,SMFG_Nikkei_Close,SMFG_Nikkei_adj_close,SMFG_Nikkei_Volume,Nikkei_Open,Nikkei_High,Nikkei_Low,Nikkei_Close,Nikkei adj close,Nikkei_Volume,NASDAQ_Premarket_Close,NASDAQ_Premarket_Open,NASDAQ_Premarket_High,NASDAQ_Premarket_Low,SMFG_ADR_Open,target
2006-01-27,12800.0,13100.0,12700.0,13000.0,7118.403809,8095400,16079.94043,16460.679688,16079.919922,16460.679688,16460.679688,153900000.0,1699.03,1703.82,1704.6,1697.98,22.4,0
2006-01-30,13500.0,13600.0,13200.0,13200.0,7227.922363,4965300,16615.910156,16754.599609,16538.720703,16551.230469,16551.230469,203400000.0,1712.24,1710.57,1712.24,1709.12,22.700001,0
2006-01-31,13300.0,13700.0,13200.0,13700.0,7501.70459,8694500,16603.900391,16718.789063,16561.310547,16649.820313,16649.820313,143200000.0,1714.42,1713.07,1714.42,1712.71,23.4,0
2006-02-01,13300.0,13500.0,13300.0,13400.0,7337.431641,6173700,16594.900391,16671.910156,16480.089844,16480.089844,16480.089844,160300000.0,1696.93,1701.23,1705.01,1696.93,23.0,0
2006-02-02,13600.0,13700.0,13300.0,13300.0,7282.678223,4625200,16632.599609,16736.179688,16611.529297,16710.550781,16710.550781,158600000.0,1710.15,1713.35,1713.38,1710.15,22.4,0
2006-02-03,13300.0,13400.0,13200.0,13300.0,7282.678223,2397300,16596.210938,16665.099609,16567.869141,16659.640625,16659.640625,124900000.0,1673.42,1684.38,1685.48,1670.25,22.5,0
2006-02-06,13400.0,13500.0,13100.0,13100.0,7173.161133,3578000,16736.230469,16777.369141,16578.189453,16747.759766,16747.759766,120200000.0,1663.53,1667.87,1668.82,1663.41,21.799999,0
2006-02-07,13100.0,13100.0,12700.0,12800.0,7008.891113,3487900,16768.160156,16769.369141,16681.039063,16720.990234,16720.990234,151500000.0,1656.44,1655.26,1658.18,1654.33,21.200001,0
2006-02-08,12600.0,12800.0,12500.0,12500.0,6844.621094,4011900,16609.960938,16682.910156,16272.679688,16272.679688,16272.679688,134400000.0,1664.33,1661.66,1665.63,1661.43,21.6,0
2006-02-09,12700.0,12900.0,12500.0,12800.0,7008.891113,4129900,16444.740234,16540.490234,16351.429688,16439.669922,16439.669922,130700000.0,1675.24,1674.85,1677.64,1674.43,22.0,0
2006-02-10,12900.0,12900.0,12400.0,12500.0,6844.621094,4366200,16525.5,16525.5,16090.929688,16257.830078,16257.830078,180300000.0,1656.0,1654.44,1656.54,1654.02,21.5,0
2006-02-13,12500.0,12500.0,12300.0,12300.0,6735.106934,2612100,16191.929688,16191.929688,15877.660156,15877.660156,15877.660156,143800000.0,1653.29,1658.42,1660.38,1653.29,20.799999,0
2006-02-14,12300.0,12600.0,12200.0,12600.0,6899.37793,4215600,15845.19043,16184.870117,15691.860352,16184.870117,16184.870117,149100000.0,1649.58,1647.75,1650.46,1647.75,21.6,0
2006-02-15,12800.0,12900.0,12500.0,12600.0,6899.37793,5437200,16302.94043,16312.740234,15932.830078,15932.830078,15932.830078,123300000.0,1657.98,1660.75,1661.74,1657.98,21.5,0
2006-02-16,12700.0,12900.0,12600.0,12800.0,7008.891113,3125000,15901.379883,16109.200195,15842.0,16043.669922,16043.669922,116200000.0,1677.93,1675.11,1680.34,1672.98,22.0,0
2006-02-17,12700.0,12800.0,12400.0,12400.0,6789.863281,3237900,16078.509766,16129.94043,15702.669922,15713.450195,15713.450195,121600000.0,1684.3,1687.48,1687.48,1683.68,21.200001,0
2006-02-21,12400.0,12700.0,12400.0,12700.0,6954.134766,4074700,15602.830078,15894.94043,15573.709961,15894.94043,15894.94043,126700000.0,1675.74,1676.29,1677.06,1675.74,21.200001,0
2006-02-22,12700.0,12700.0,12400.0,12500.0,6844.621094,3275200,15882.639648,15923.0,15679.910156,15781.780273,15781.780273,145700000.0,1657.6,1655.86,1657.6,1654.77,21.299999,0
2006-02-23,12600.0,12800.0,12500.0,12600.0,6899.37793,4780200,15908.870117,16096.099609,15892.509766,16096.099609,16096.099609,121300000.0,1675.58,1676.3,1677.1,1675.26,21.700001,0
2006-02-24,12700.0,12900.0,12600.0,12800.0,7008.891113,2750100,16034.669922,16118.110352,15947.040039,16101.910156,16101.910156,122900000.0,1672.69,1674.49,1675.03,1672.23,22.200001,0
2006-02-27,12800.0,12900.0,12500.0,12800.0,7008.891113,5349400,16156.150391,16290.150391,16123.290039,16192.950195,16192.950195,152600000.0,1679.93,1680.07,1681.01,1679.31,22.0,0
2006-02-28,12900.0,13000.0,12700.0,12800.0,7008.891113,5604600,16218.620117,16229.679688,15953.320313,16205.429688,16205.429688,154400000.0,1689.96,1697.9,1698.13,1689.96,21.9,0
2006-03-01,12700.0,12800.0,12600.0,12600.0,6899.37793,2933800,16026.820313,16053.299805,15910.650391,15964.459961,15964.459961,139300000.0,1675.86,1672.64,1676.76,1672.64,22.200001,0
2006-03-02,12700.0,12800.0,12600.0,12600.0,6899.37793,2905000,16068.759766,16106.259766,15879.709961,15909.759766,15909.759766,118200000.0,1686.53,1694.38,1694.38,1686.53,21.700001,0
2006-03-03,12700.0,12700.0,12500.0,12600.0,6899.37793,2062300,15835.429688,15897.290039,15658.639648,15663.339844,15663.339844,111200000.0,1683.78,1697.32,1697.8,1679.0,21.700001,0
2006-03-06,12600.0,12700.0,12500.0,12700.0,6954.134766,1531800,15668.629883,15901.160156,15609.799805,15901.160156,15901.160156,99900000.0,1689.45,1693.07,1693.68,1689.45,21.4,0
2006-03-07,12600.0,12700.0,12500.0,12600.0,6899.37793,1628200,15864.570313,15864.570313,15678.120117,15726.019531,15726.019531,113100000.0,1666.65,1668.51,1669.79,1666.61,21.299999,0
2006-03-08,12500.0,12600.0,12400.0,12500.0,6844.621094,2569300,15657.790039,15720.650391,15553.139648,15627.490234,15627.490234,113400000.0,1656.19,1658.27,1658.27,1655.52,21.1,0
2006-03-09,12600.0,12700.0,12500.0,12700.0,6954.134766,2711900,15645.299805,16049.610352,15645.299805,16036.910156,16036.910156,117800000.0,1665.3,1665.87,1668.29,1665.3,21.700001,0
2006-03-10,12700.0,13000.0,12600.0,12700.0,6954.134766,5135600,16007.410156,16264.889648,15982.019531,16115.629883,16115.629883,166700000.0,1644.38,1646.42,1648.9,1644.38,21.700001,0
