"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2023","13,084.87","13,082.80","13,105.05","13,071.27","","0.87%"
"03/31/2023","12,972.46","12,950.36","12,985.49","12,943.36","","0.24%"
"03/30/2023","12,940.83","12,921.52","12,941.27","12,913.02","","1.45%"
"03/29/2023","12,756.14","12,718.01","12,756.51","12,710.59","","0.84%"
"03/28/2023","12,649.28","12,661.37","12,662.11","12,638.41","","-1.16%"
"03/27/2023","12,797.18","12,810.27","12,811.67","12,792.88","","0.85%"
"03/24/2023","12,689.32","12,660.11","12,689.32","12,652.01","","-0.28%"
"03/23/2023","12,725.46","12,689.64","12,725.46","12,689.11","","-0.14%"
"03/22/2023","12,743.25","12,713.00","12,743.25","12,709.59","","0.82%"
"03/21/2023","12,639.32","12,620.54","12,645.26","12,616.66","","1.21%"
"03/20/2023","12,488.79","12,484.65","12,535.01","12,481.70","","-0.91%"
"03/17/2023","12,603.41","12,594.44","12,611.56","12,543.29","","3.25%"
"03/16/2023","12,206.23","12,283.86","12,292.58","12,206.23","","0.99%"
"03/15/2023","12,086.22","12,036.51","12,086.22","12,006.23","","0.18%"
"03/14/2023","12,065.04","11,996.06","12,066.00","11,980.46","","2.66%"
"03/13/2023","11,752.03","11,865.27","11,879.40","11,695.54","","-2.09%"
"03/10/2023","12,002.67","11,983.87","12,083.74","11,978.97","","-1.83%"
"03/09/2023","12,225.89","12,155.13","12,245.26","12,155.13","","0.45%"
"03/08/2023","12,170.83","12,145.61","12,170.83","12,136.87","","-1.05%"
"03/07/2023","12,299.81","12,333.49","12,338.03","12,299.81","","-0.33%"
"03/06/2023","12,340.30","12,328.74","12,351.61","12,327.43","","1.90%"
"03/03/2023","12,110.63","12,072.42","12,112.69","12,065.27","","2.32%"
"03/02/2023","11,836.23","11,853.46","11,860.64","11,820.77","","-1.64%"
"03/01/2023","12,033.55","12,067.90","12,070.05","12,026.55","","0.01%"
"02/28/2023","12,031.96","12,094.88","12,095.22","12,028.75","","-0.57%"
"02/27/2023","12,100.46","12,037.25","12,100.46","12,037.25","","1.00%"
"02/24/2023","11,981.15","12,087.65","12,092.91","11,967.26","","-2.03%"
